"Id" "Name" "Lon" "Lat"
512 "cordoba|fuenteobejuna" -5.41923282 38.26702154
513 "cordoba|fuentepalmera" -5.10411463 37.70323501
514 "cordoba|hinojosadelduque" -5.14848249 38.50061616
515 "cordoba|iznajar" -4.30793236 37.25784671
516 "cordoba|lacarlota" -4.93225379 37.67519215
517 "cordoba|losblazquez" -5.43808665 38.406797
518 "cordoba|lucena" -4.48451348 37.40901404
519 "cordoba|luque" -4.27765852 37.55956888
520 "cordoba|montemayor" -4.69899102 37.64747277
521 "cordoba|montilla" -4.63785702 37.59232558
522 "cordoba|montoro" -4.38130891 38.02639376
523 "cordoba|monturque" -4.58088184 37.47356745
524 "cordoba|moriles" -4.60916325 37.43498961
525 "cordoba|obejo" -4.80059964 38.13442999
526 "cordoba|pedroabad" -4.45502044 37.96637631
527 "cordoba|penarroya-pueblonuevo" -5.26610998 38.29876873
528 "cordoba|puentegenil" -4.77225259 37.3883058
529 "cordoba|rute" -4.37022684 37.32526431
530 "cordoba|valenzuela" -4.21935803 37.77497124
531 "cordoba|villadelrio" -4.29093006 37.98234127
532 "cordoba|villafrancadecordoba" -4.54554878 37.96233796
533 "cordoba|villaharta" -4.90308829 38.1396903
534 "cordoba|villanuevadelrey" -5.15082199 38.20045817
535 "cordoba|zuheros" -4.31649861 37.54383838
536 "cuenca|abiadelaobispalia" -2.39574988 40.01915175
537 "cuenca|alarcon" -2.0862032 39.54670505
538 "cuenca|alcazardelrey" -2.80919335 40.06337697
539 "cuenca|almodovardelpinar" -1.90192562 39.72560852
540 "cuenca|arcas" -2.11495294 39.98852404
541 "cuenca|atalayadelcanavate" -2.25299397 39.51727862
542 "cuenca|belinchon" -3.05552114 40.04766331
543 "cuenca|belmonte" -2.70451009 39.55798889
544 "cuenca|belmontejo" -2.34612338 39.82226035
545 "cuenca|campillodealtobuey" -1.79608286 39.61084466
546 "cuenca|campillos-paravientos" -1.54826134 39.97431329
547 "cuenca|campillos-sierra" -1.69807843 40.1001606
548 "cuenca|camposdelparaiso" -2.73842048 40.03753421
549 "cuenca|canadadelhoyo" -1.8994922 39.97046084
550 "cuenca|canadajuncosa" -2.2526313 39.54893005
551 "cuenca|canete" -1.6476273 40.04109436
552 "cuenca|carbonerasdeguadazaon" -1.81320516 39.89986629
553 "cuenca|carrascosadeharo" -2.54061738 39.59774096
554 "cuenca|casasdeguijarro" -2.16341711 39.34633539
555 "cuenca|casasimarro" -2.03987145 39.39285821
556 "cuenca|castillejodeiniesta" -1.76092683 39.52519483
557 "cuenca|cerveradelllano" -2.42052799 39.78389491
558 "cuenca|cuenca" -2.13152306 40.07653762
559 "cuenca|elpedernoso" -2.74454177 39.48508097
560 "cuenca|elperal" -1.89855566 39.49914409
561 "cuenca|elpicazo" -2.08881781 39.4481972
562 "cuenca|elprovencio" -2.57366524 39.37643287
563 "cuenca|fresnedadealtarejos" -2.31395832 39.92519278
564 "cuenca|fuentes" -2.02241033 39.94984979
565 "cuenca|gabaldon" -1.94481967 39.6259051
566 "cuenca|grajadeiniesta" -1.6720477 39.51686137
567 "cuenca|honrubia" -2.28052957 39.61196266
568 "cuenca|huelves" -2.8836522 40.04353704
569 "cuenca|iniesta" -1.74974952 39.44322663
570 "cuenca|laalbercadezancara" -2.49058346 39.51323012
571 "cuenca|laalmarcha" -2.38281385 39.68503932
572 "cuenca|lahinojosa" -2.41680206 39.72724768
573 "cuenca|lapesquera" -1.58539573 39.5723678
574 "cuenca|lasmesas" -2.76724347 39.38995878
575 "cuenca|laspedroneras" -2.67521669 39.45215365
576 "cuenca|minglanilla" -1.59575034 39.53520115
577 "cuenca|montalbo" -2.67223021 39.87798969
578 "cuenca|motadealtarejos" -2.31023829 39.8819054
579 "cuenca|motadelcuervo" -2.87081044 39.49865371
580 "cuenca|motilladelpalancar" -1.90994719 39.56052095
581 "cuenca|olivaresdejucar" -2.35141426 39.76034602
582 "cuenca|olmedadelrey" -2.08303917 39.80837829
583 "cuenca|pajaroncillo" -1.73384857 39.94746168
584 "cuenca|paredes" -2.85408563 40.06643325
585 "cuenca|pozoamargo" -2.19687565 39.36647507
586 "cuenca|pozorrubielosdelamancha" -2.03877807 39.44537978
587 "cuenca|puebladelsalvador" -1.67436579 39.56438888
588 "cuenca|quintanardelrey" -1.92764017 39.34251913
589 "cuenca|radadeharo" -2.62076255 39.56981018
590 "cuenca|reillo" -1.87168988 39.90581103
591 "cuenca|saelices" -2.80522516 39.9209975
592 "cuenca|salinasdelmanzano" -1.55634669 40.08849771
593 "cuenca|salvacanete" -1.50242309 40.0987678
594 "cuenca|sanclemente" -2.42962901 39.40330614
595 "cuenca|sanlorenzodelaparrilla" -2.36103293 39.85130155
596 "cuenca|santamariadelosllanos" -2.81131288 39.48862424
597 "cuenca|sisante" -2.20115957 39.40713272
598 "cuenca|soleradegabaldon" -1.97762435 39.74803197
599 "cuenca|tarancon" -3.00299913 40.01100721
600 "cuenca|tebar" -2.16555868 39.49960946
601 "cuenca|torrejoncillodelrey" -2.57430524 40.00762093
602 "cuenca|valdemoro-sierra" -1.76707909 40.10118642
603 "cuenca|valdetortola" -2.18602597 39.92051743
604 "cuenca|varaderey" -2.29495241 39.42438985
605 "cuenca|villaescusadeharo" -2.67442166 39.59725685
606 "cuenca|villalgordodelmarquesado" -2.50830315 39.68222427
607 "cuenca|villanuevadelajara" -1.9505386 39.43910272
608 "cuenca|villardelaencina" -2.52201473 39.63693289
609 "cuenca|villardeolalla" -2.19680616 40.0152484
610 "cuenca|villaresdelsaz" -2.50690692 39.84039096
611 "cuenca|villarrubio" -2.8951749 39.94465693
612 "cuenca|villasdelaventosa" -2.43187557 40.2054271
613 "gipuzkoa|andoain" -2.01998488 43.21980681
614 "gipuzkoa|antzuola" -2.38135844 43.09807343
615 "gipuzkoa|aretxabaleta" -2.50292256 43.03338141
616 "gipuzkoa|arrasate/mondragon" -2.49099614 43.0652967
617 "gipuzkoa|ataun" -2.17737085 43.00673574
618 "gipuzkoa|beasain" -2.19706732 43.04874902
619 "gipuzkoa|bergara" -2.41251041 43.11714838
620 "gipuzkoa|deba" -2.35409242 43.29467572
621 "gipuzkoa|donostia/sansebastian" -1.98191785 43.31717158
622 "gipuzkoa|eibar" -2.47092183 43.18542077
623 "gipuzkoa|errenteria" -1.90440508 43.3142023
624 "gipuzkoa|eskoriatza" -2.52821422 43.01682946
625 "gipuzkoa|irun" -1.78736072 43.34003194
626 "gipuzkoa|lasarte-oria" -2.01808787 43.26121128
627 "gipuzkoa|lazkao" -2.1875471 43.03517425
628 "gipuzkoa|ordizia" -2.17981927 43.05312883
629 "gipuzkoa|ormaiztegi" -2.25423319 43.04283345
630 "gipuzkoa|pasaia" -1.91753163 43.32495257
631 "gipuzkoa|soraluze-placenciadelasarmas" -2.41257608 43.17432947
632 "gipuzkoa|tolosa" -2.07170336 43.13829669
633 "gipuzkoa|urretxu" -2.31443731 43.09363875
634 "gipuzkoa|zarautz" -2.17760995 43.2863354
635 "gipuzkoa|zumarraga" -2.3138734 43.0891329
636 "granada|almunecar" -3.69091622 36.73441423
637 "granada|baza" -2.77485648 37.49077779
638 "granada|castril" -2.77929932 37.79447243
639 "granada|cijuela" -3.81055129 37.19984762
640 "granada|cortesygraena" -3.21870296 37.30400297
641 "granada|cullar" -2.57596221 37.58371761
642 "granada|darro" -3.29325661 37.35059768
643 "granada|diezma" -3.33182232 37.32111088
644 "granada|durcal" -3.56634078 36.988117
645 "granada|ferreira" -3.03620132 37.17247581
646 "granada|granada" -3.60001883 37.17641932
647 "granada|guadahortuna" -3.39966868 37.55822516
648 "granada|guadix" -3.13638082 37.30161072
649 "granada|hueneja" -2.94839159 37.17593942
650 "granada|huescar" -2.54009537 37.80977052
651 "granada|huetordesantillan" -3.51676416 37.2184559
652 "granada|huetortajar" -4.04716859 37.19468512
653 "granada|huetorvega" -3.57174084 37.14461301
654 "granada|lacalahorra" -3.06368298 37.18155072
655 "granada|lachar" -3.83555349 37.19658225
656 "granada|loja" -4.15218743 37.16628219
657 "granada|moclin" -3.78682853 37.3426959
658 "granada|moraledadezafayona" -3.96451008 37.16801177
659 "granada|morelabor" -3.33219505 37.43964189
660 "granada|motril" -3.52123441 36.74574584
661 "granada|pinosgenil" -3.50099184 37.16322207
662 "granada|pinospuente" -3.74737519 37.25412074
663 "granada|polopos" -3.29721867 36.79588888
664 "granada|puebladedonfadrique" -2.43683434 37.96180328
665 "granada|purullena" -3.18924015 37.31771856
666 "granada|salobrena" -3.58852615 36.74331277
667 "granada|santafe" -3.71896428 37.18938734
668 "granada|sorvilan" -3.26694874 36.79412146
669 "granada|torre-cardela" -3.35644595 37.50474975
670 "granada|valledelzalabi" -3.09745106 37.25634459
671 "guadalajara|alcoleadelpinar" -2.46742871 41.03561797
672 "guadalajara|algora" -2.66723541 40.96451938
673 "guadalajara|almadrones" -2.77468075 40.90109075
674 "guadalajara|alovera" -3.24826011 40.59571722
675 "guadalajara|anguita" -2.36795961 41.02574633
676 "guadalajara|anqueladelducado" -2.12943843 40.97096151
677 "guadalajara|atienza" -2.8708561 41.19958752
678 "guadalajara|azuquecadehenares" -3.26215847 40.56842557
679 "guadalajara|campilloderanas" -3.31430959 41.08568076
680 "guadalajara|casasdesangalindo" -2.95803626 40.87250448
681 "guadalajara|castellardelamuela" -1.75965907 40.81941817
682 "guadalajara|cincovillas" -2.81826787 41.20556994
683 "guadalajara|ciruelas" -3.08904958 40.75278267
684 "guadalajara|corduente" -1.9793337 40.84271475
685 "guadalajara|elpedregal" -1.57028856 40.77931057
686 "guadalajara|elpobodeduenas" -1.6511278 40.77660899
687 "guadalajara|gajanejos" -2.89188975 40.84171517
688 "guadalajara|guadalajara" -3.16210273 40.63435548
689 "guadalajara|herasdeayuso" -3.0998259 40.7902136
690 "guadalajara|herreria" -1.96123088 40.8868285
691 "guadalajara|hita" -3.04666599 40.82504686
692 "guadalajara|jadraque" -2.92246649 40.92513972
693 "guadalajara|jirueque" -2.90186019 40.96481444
694 "guadalajara|laminosa" -2.9317731 41.17986744
695 "guadalajara|ledanca" -2.84392722 40.86869428
696 "guadalajara|luzon" -2.27723941 41.02659077
697 "guadalajara|maranchon" -2.20703082 41.04770289
698 "guadalajara|mazarete" -2.16082449 41.00112825
699 "guadalajara|mirabueno" -2.72621638 40.94422581
700 "guadalajara|miralrio" -2.94424465 40.8882272
701 "guadalajara|molinadearagon" -1.89058836 40.8423812
702 "guadalajara|negredo" -2.85937293 41.0268368
703 "guadalajara|paredesdesiguenza" -2.73242003 41.24199253
704 "guadalajara|quer" -3.27704768 40.60667004
705 "guadalajara|rebollosadejadraque" -2.84200994 41.08944754
706 "guadalajara|rillodegallo" -1.93699387 40.86599669
707 "guadalajara|riofriodelllano" -2.82487912 41.13749845
708 "guadalajara|sauca" -2.5293556 41.03164509
709 "guadalajara|selas" -2.10213457 40.95110531
710 "guadalajara|siguenza" -2.64143034 41.06836067
711 "guadalajara|torija" -3.03272845 40.74394743
712 "guadalajara|torredelburgo" -3.08027451 40.79509335
713 "guadalajara|torremochadelcampo" -2.6188249 40.97814302
714 "guadalajara|tortoladehenares" -3.12462121 40.70678766
715 "guadalajara|trijueque" -2.9958891 40.77732863
716 "huelva|aljaraque" -7.02327311 37.2723312
717 "huelva|almonasterlareal" -6.7872 37.872631
718 "huelva|almonte" -6.51747768 37.26252304
719 "huelva|arroyomolinosdeleon" -6.42109767 38.02628837
720 "huelva|beas" -6.79288327 37.42630834
721 "huelva|bonares" -6.68397297 37.32109958
722 "huelva|cala" -6.31639457 37.97194335
723 "huelva|calanas" -6.8787582 37.65467658
724 "huelva|cartaya" -7.15548874 37.28348056
725 "huelva|cumbresdeenmedio" -6.6925844 38.07203503
726 "huelva|cumbresdesanbartolome" -6.74345244 38.07699788
727 "huelva|encinasola" -6.87243524 38.13527618
728 "huelva|galaroza" -6.70873714 37.92832811
729 "huelva|gibraleon" -6.97357026 37.37613276
730 "huelva|hinojos" -6.37618796 37.29250784
731 "huelva|huelva" -6.95040588 37.26004113
732 "huelva|jabugo" -6.72881521 37.91692219
733 "huelva|lanava" -6.74522443 37.96282566
734 "huelva|lapalmadelcondado" -6.55312863 37.3876449
735 "huelva|lepe" -7.20341247 37.25515221
736 "huelva|lucenadelpuerto" -6.73059967 37.30382694
737 "huelva|manzanilla" -6.42830723 37.38709216
738 "huelva|moguer" -6.83691754 37.27471025
739 "huelva|niebla" -6.67961259 37.36154941
740 "huelva|palosdelafrontera" -6.891977 37.23054376
741 "huelva|puntaumbria" -6.95728548 37.1777585
742 "huelva|rocianadelcondado" -6.59837347 37.30797309
743 "huelva|sanjuandelpuerto" -6.84116392 37.31549608
744 "huelva|santaanalareal" -6.72321662 37.86462992
745 "huelva|santaolalladelcala" -6.23468816 37.90505707
746 "huelva|trigueros" -6.83379212 37.38311439
747 "huelva|valverdedelcamino" -6.75345585 37.57225802
748 "huelva|villalbadelalcor" -6.47673384 37.39718433
749 "huelva|villarrasa" -6.60851594 37.38899587
750 "huelva|zalamealareal" -6.66084235 37.68020669
751 "huesca|altorricon" 0.41430272 41.80356286
752 "huesca|angues" -0.15348143 42.11133682
753 "huesca|barbastro" 0.12246205 42.03662727
754 "huesca|binefar" 0.2934451 41.85299404
755 "huesca|candasnos" 0.06397647 41.50337098
756 "huesca|castejondelpuente" 0.16159652 41.96260477
757 "huesca|fraga" 0.3489743 41.52221149
758 "huesca|huesca" -0.40842276 42.14062739
759 "huesca|lascellas-ponzano" -0.07588096 42.06644623
760 "huesca|monzon" 0.1946465 41.91031171
761 "huesca|penalba" -0.03944626 41.50048034
762 "huesca|peraltilla" -0.01708908 42.05602525
763 "huesca|plan" 0.33641901 42.58185615
764 "huesca|sietamo" -0.27995247 42.1232059
765 "huesca|tella-sin" 0.22077583 42.58477288
766 "huesca|viacampylitera" 0.61425761 42.1286444
767 "jaen|alcalalareal" -3.92944941 37.45979131
768 "jaen|alcaudete" -4.08750989 37.59013356
769 "jaen|andujar" -4.05408787 38.03712706
770 "jaen|arjona" -4.05446885 37.93559892
771 "jaen|arjonilla" -4.10757675 37.9742431
772 "jaen|arquillos" -3.43144008 38.18199961
773 "jaen|baeza" -3.4693067 37.99003004
774 "jaen|bailen" -3.77583606 38.09549321
775 "jaen|beasdesegura" -2.88730567 38.2506588
776 "jaen|cambil" -3.56676191 37.67738522
777 "jaen|carboneros" -3.63131974 38.2293919
778 "jaen|escanuela" -4.03314945 37.87910806
779 "jaen|fuertedelrey" -3.88436808 37.8739655
780 "jaen|guarroman" -3.68678524 38.18148567
781 "jaen|huelma" -3.4610967 37.65066057
782 "jaen|huesa" -3.07519675 37.76556641
783 "jaen|jaen" -3.7903594 37.7651913
784 "jaen|lacarolina" -3.61672237 38.2759015
785 "jaen|lahiguera" -3.9954969 37.97080148
786 "jaen|linares" -3.63503009 38.0920657
787 "jaen|lopera" -4.21432714 37.94392635
788 "jaen|marmolejo" -4.17086502 38.04499845
789 "jaen|mengibar" -3.80877666 37.96833038
790 "jaen|pealdebecerro" -3.12686117 37.91218339
791 "jaen|porcuna" -4.1843202 37.86967238
792 "jaen|pozoalcon" -2.93451693 37.70555969
793 "jaen|puentedegenave" -2.80155441 38.35562868
794 "jaen|quesada" -3.06778027 37.84747175
795 "jaen|santaelena" -3.53912249 38.33835156
796 "jaen|torredelcampo" -3.89658883 37.7704605
797 "jaen|torredonjimeno" -3.95783111 37.76767149
798 "jaen|torreperogil" -3.28685384 38.03342782
799 "jaen|ubeda" -3.3711916 38.01149823
800 "jaen|vilches" -3.50741052 38.20444294
801 "jaen|villacarrillo" -3.08623926 38.10893521
802 "jaen|villanuevadelarzobispo" -3.0118661 38.16962851
803 "larioja|agoncillo" -2.2916499 42.44592226
804 "larioja|alesanco" -2.81705346 42.41347595
805 "larioja|aleson" -2.69021015 42.40509672
806 "larioja|alfaro" -1.749283 42.17839836
807 "larioja|ausejo" -2.16991898 42.34531809
808 "larioja|azofra" -2.80046899 42.42321959
809 "larioja|brinas" -2.83222777 42.60073236
810 "larioja|briones" -2.78543361 42.54319617
811 "larioja|calahorra" -1.9609741 42.30155468
812 "larioja|casalarreina" -2.91056384 42.54867729
813 "larioja|cenicero" -2.64244133 42.48159765
814 "larioja|cidamon" -2.87991305 42.49519878
815 "larioja|cuzcurritaderiotiron" -2.96464708 42.54159272
816 "larioja|elvillardearnedo" -2.09416432 42.31979706
817 "larioja|foncea" -3.03861488 42.61544052
818 "larioja|fonzaleche" -3.0120285 42.58126898
819 "larioja|fuenmayor" -2.56205791 42.46726911
820 "larioja|gimileo" -2.82164547 42.55028335
821 "larioja|granon" -3.02805817 42.45027506
822 "larioja|haro" -2.84581519 42.57805688
823 "larioja|hervias" -2.88760457 42.4479254
824 "larioja|hormilla" -2.77454946 42.4377609
825 "larioja|logrono" -2.44565538 42.46644945
826 "larioja|najera" -2.73573434 42.41601826
827 "larioja|navarrete" -2.56153157 42.42953238
828 "larioja|ollauri" -2.83445823 42.541477
829 "larioja|rincondesoto" -1.85033225 42.23484391
830 "larioja|sanasensio" -2.74969065 42.49719308
831 "larioja|santodomingodelacalzada" -2.95339794 42.44063181
832 "larioja|sotes" -2.60244308 42.40014229
833 "larioja|tirgo" -2.94935944 42.54581957
834 "larioja|torremontalbo" -2.68511186 42.50063539
835 "larioja|tricio" -2.71914869 42.40138901
836 "larioja|ventosa" -2.62678139 42.40427692
837 "leon|astorga" -6.05713777 42.4576328
838 "leon|bembibre" -6.41670136 42.61507172
839 "leon|castrotierradevalmadrigal" -5.24735525 42.34738751
840 "leon|cistierna" -5.124368 42.80315163
841 "leon|gordalizadelpino" -5.15762751 42.34352881
842 "leon|hospitaldeorbigo" -5.88249275 42.46356454
843 "leon|izagre" -5.25751071 42.22399087
844 "leon|labaneza" -5.89911878 42.29654991
845 "leon|lapoladegordon" -5.66955807 42.8547688
846 "leon|larobla" -5.62816206 42.80214837
847 "leon|lavecilla" -5.40618064 42.84867749
848 "leon|leon" -5.56707631 42.59912097
849 "leon|mansilladelasmulas" -5.41644441 42.49865875
850 "leon|mansillamayor" -5.4439591 42.50834096
851 "leon|ponferrada" -6.59729457 42.5476828
852 "leon|quintanadelcastillo" -6.04595514 42.66130512
853 "leon|sahagun" -5.03323855 42.37119886
854 "leon|santacristinadevalmadrigal" -5.30949601 42.35353626
855 "leon|santasmartas" -5.37195763 42.43240866
856 "leon|toraldelosvados" -6.77614939 42.54303595
857 "leon|valdefresno" -5.49251038 42.59374447
858 "leon|valenciadedonjuan" -5.52018899 42.29380225
859 "leon|vallecillo" -5.21062055 42.3557569
860 "leon|valverde-enrique" -5.29918603 42.30385286
861 "leon|valverdedelavirgen" -5.68292554 42.56917983
862 "leon|vegadevalcarce" -6.94723548 42.66525183
863 "leon|villadangosdelparamo" -5.76649467 42.51667328
864 "leon|villafrancadelbierzo" -6.81082207 42.60599303
865 "leon|villamanin" -5.65595254 42.93702816
866 "leon|villamejil" -6.02430495 42.56268211
867 "leon|villamoratieldelasmatas" -5.30316509 42.39625973
868 "leon|villaturiel" -5.48537946 42.51852604
869 "lleida|alcarras" 0.52411008 41.56301538
870 "lleida|almacelles" 0.43774764 41.73168979
871 "lleida|lleida" 0.62061934 41.61527355
872 "lugo|apontenova" -7.1925 43.34755556
873 "lugo|asnogais" -7.109325925 42.80915776
874 "lugo|baralla" -7.251083333 42.89386111
875 "lugo|becerrea" -7.161554483 42.85315143
876 "lugo|guitiriz" -7.894119233 43.18089716
877 "lugo|lugo" -7.555755439 43.00988951
878 "lugo|meira" -7.292075967 43.21280627
879 "lugo|monfortedelemos" -7.516844378 42.52283979
880 "lugo|ocorgo" -7.423694444 42.94094444
881 "lugo|pedrafitadocebreiro" -7.02157755 42.72686364
882 "lugo|quiroga" -7.274041539 42.47621289
883 "lugo|ribadeo" -7.039512003 43.53629223
884 "lugo|vilalba" -7.680761317 43.29710869
885 "madrid|alcaladehenares" -3.36925102 40.48033232
886 "madrid|alcobendas" -3.63240185 40.54104188
887 "madrid|alcorcon" -3.82849494 40.35156977
888 "madrid|aranjuez" -3.60279693 40.03340145
889 "madrid|argandadelrey" -3.43911167 40.30073423
890 "madrid|buitragodellozoya" -3.63645135 40.993572
891 "madrid|cabanillasdelasierra" -3.62442693 40.82120948
892 "madrid|cercedilla" -4.05622297 40.74278443
893 "madrid|colladovillalba" -3.99272535 40.64302937
894 "madrid|elmolar" -3.58276815 40.73288241
895 "madrid|fuentiduenadetajo" -3.15943678 40.11866219
896 "madrid|getafe" -3.72935236 40.30403754
897 "madrid|guadarrama" -4.08669675 40.67350607
898 "madrid|lacabrera" -3.61496138 40.86461768
899 "madrid|lasernadelmonte" -3.62602701 41.03282372
900 "madrid|lasrozasdemadrid" -3.87457308 40.49195187
901 "madrid|lozoyuela-navas-sieteiglesias" -3.61839674 40.92781981
902 "madrid|madrid" -3.68760088 40.40841191
903 "madrid|meco" -3.32908179 40.55375083
904 "madrid|mostoles" -3.8648888 40.32355537
905 "madrid|navalcarnero" -4.01478084 40.28847295
906 "madrid|parla" -3.7708691 40.23782083
907 "madrid|peralesdetajuna" -3.3532985 40.23335851
908 "madrid|pinto" -3.69824953 40.24318238
909 "madrid|robregordo" -3.59354768 41.10673608
910 "madrid|sanagustindelguadalix" -3.61743114 40.67893914
911 "madrid|sanfernandodehenares" -3.53500587 40.42532521
912 "madrid|sansebastiandelosreyes" -3.62671879 40.5470547
913 "madrid|somosierra" -3.58084404 41.13287915
914 "madrid|torrejondeardoz" -3.47899019 40.4591561
915 "madrid|torrejondelacalzada" -3.7950424 40.19987233
916 "madrid|torrelodones" -3.93135576 40.57649785
917 "madrid|valdemoro" -3.67881474 40.18889948
918 "madrid|venturada" -3.61779984 40.79963384
919 "madrid|villarejodesalvanes" -3.27232626 40.16783474
920 "malaga|alhaurindelatorre" -4.5604509 36.66314911
921 "malaga|alora" -4.70685543 36.82063001
922 "malaga|alozaina" -4.85529513 36.72826442
923 "malaga|antequera" -4.55804451 37.0142215
924 "malaga|archidona" -4.39031416 37.09717349
925 "malaga|ardales" -4.84547635 36.87640909
926 "malaga|campillos" -4.86223442 37.04734424
927 "malaga|carratraca" -4.82065129 36.85384356
928 "malaga|cartama" -4.63171653 36.71005782
929 "malaga|casabermeja" -4.42957972 36.89392649
930 "malaga|casarabonela" -4.84309805 36.78480634
931 "malaga|cuevasdelbecerro" -5.04657706 36.87520846
932 "malaga|elburgo" -4.94538626 36.78802751
933 "malaga|estepona" -5.1463572 36.42657668
934 "malaga|fuengirola" -4.62378308 36.53902839
935 "malaga|fuentedepiedra" -4.73195066 37.1355092
936 "malaga|humilladero" -4.70087934 37.11336322
937 "malaga|malaga" -4.41997511 36.72034267
938 "malaga|marbella" -4.88406637 36.50963847
939 "malaga|mollina" -4.65776429 37.1257807
940 "malaga|montecorto" -5.29871013 36.81603651
941 "malaga|montejaque" -5.25172599 36.73390878
942 "malaga|nerja" -3.87667655 36.74484684
943 "malaga|pizarra" -4.70872909 36.76719717
944 "malaga|rincondelavictoria" -4.29230385 36.71634307
945 "malaga|ronda" -5.1654186 36.73725905
946 "malaga|serrato" -4.98096546 36.88543225
947 "malaga|teba" -4.92158172 36.98132441
948 "malaga|torremolinos" -4.49759729 36.62118405
949 "malaga|torrox" -3.95292767 36.75862084
950 "malaga|velez-malaga" -4.10210923 36.7827081
951 "malaga|villanuevadelrosario" -4.36394556 36.99699553
952 "malaga|villanuevadetapia" -4.33427797 37.18382365
953 "malaga|yunquera" -4.92100984 36.73128747
954 "murcia|abaran" -1.40118044 38.20259944
955 "murcia|aguilas" -1.5811258 37.40429728
956 "murcia|alcantarilla" -1.21291206 37.9716806
957 "murcia|alguazas" -1.24136075 38.05030529
958 "murcia|alhamademurcia" -1.42462332 37.85237594
959 "murcia|archena" -1.29845137 38.11297565
960 "murcia|blanca" -1.37559767 38.18057492
961 "murcia|bullas" -1.67033157 38.04956135
962 "murcia|calasparra" -1.69391338 38.23115046
963 "murcia|caravacadelacruz" -1.86430745 38.1049406
964 "murcia|cartagena" -0.98210494 37.60017342
965 "murcia|cehegin" -1.80048338 38.09849314
966 "murcia|cieza" -1.42753081 38.23689373
967 "murcia|fortuna" -1.12301552 38.17924102
968 "murcia|fuentealamodemurcia" -1.17020102 37.7238703
969 "murcia|jumilla" -1.32702475 38.47617313
970 "murcia|lastorresdecotillas" -1.24119689 38.02953959
971 "murcia|launion" -0.87525381 37.61908738
972 "murcia|librilla" -1.35077386 37.88623223
973 "murcia|lorca" -1.69930754 37.67700133
974 "murcia|lorqui" -1.25436494 38.0819052
975 "murcia|losalcazares" -0.85304369 37.73327815
976 "murcia|mazarron" -1.31668619 37.59763627
977 "murcia|molinadesegura" -1.21163275 38.0505597
978 "murcia|mula" -1.49032811 38.04203339
979 "murcia|murcia" -1.1285408 37.98436361
980 "murcia|ojos" -1.34177321 38.14769578
981 "murcia|puertolumbreras" -1.81042381 37.55977174
982 "murcia|sanjavier" -0.83472964 37.80604474
983 "murcia|sanpedrodelpinatar" -0.79145529 37.83500571
984 "murcia|santomera" -1.04750884 38.0610856
985 "murcia|torre-pacheco" -0.95345938 37.74293304
986 "murcia|totana" -1.50261006 37.76955169
987 "murcia|ulea" -1.33240829 38.13800169
988 "murcia|villanuevadelriosegura" -1.3242545 38.13730888
989 "murcia|yecla" -1.11531939 38.6134178
990 "navarra|altsasu/alsasua" -2.17054551 42.89495157
991 "navarra|arakil" -1.84791404 42.92596117
992 "navarra|arbizu" -2.03940644 42.91560894
993 "navarra|arguedas" -1.59752473 42.17748866
994 "navarra|arruazu" -1.99992837 42.92259157
995 "navarra|atez/atetz" -1.70960832 42.93928879
996 "navarra|barasoain" -1.64689846 42.60373161
997 "navarra|berrioplano/berriobeiti" -1.69315704 42.85259037
998 "navarra|bunuel" -1.44333882 41.98045327
999 "navarra|caparroso" -1.65631755 42.33802232
1000 "navarra|cortes" -1.42257856 41.92319674
1001 "navarra|ergoiena" -2.03386133 42.87456202
1002 "navarra|estella-lizarra" -2.03139856 42.67184949
1003 "navarra|etxarriaranatz" -2.0651734 42.9074208
1004 "navarra|fontellas" -1.57502293 42.0282945
1005 "navarra|irurtzun" -1.82803648 42.91831211
1006 "navarra|lakuntza" -2.0231656 42.9214867
1007 "navarra|losarcos" -2.19276342 42.56871797
1008 "navarra|olazti/olazagutia" -2.19787261 42.87496609
1009 "navarra|olite/erriberri" -1.65145411 42.48010316
1010 "navarra|oloriz/oloritz" -1.6127208 42.63538178
1011 "navarra|pamplona/iruna" -1.6451528 42.814102
1012 "navarra|puentelareina/gares" -1.81406821 42.67218099
1013 "navarra|pueyo" -1.64928327 42.56502725
1014 "navarra|ribaforada" -1.50950675 41.99815564
1015 "navarra|tafalla" -1.67714182 42.52831262
1016 "navarra|tiebas-muruartedereta" -1.63887849 42.69421255
1017 "navarra|tudela" -1.60578122 42.06346352
1018 "navarra|uhartearakil" -1.96923566 42.92030192
1019 "navarra|valledeyerri/deierri" -2.0005221 42.72891269
1020 "navarra|valtierra" -1.63395077 42.19580564
1021 "navarra|viana" -2.37140346 42.51526446
1022 "ourense|agudina" -7.139000186 42.06063452
1023 "ourense|allariz" -7.801700519 42.19017116
1024 "ourense|arua" -7.114128794 42.39513716
1025 "ourense|obarcodevaldeorras" -6.984649378 42.41644671
1026 "ourense|ocarballino" -8.077541083 42.42972473
1027 "ourense|ourense" -7.863836656 42.33553117
1028 "ourense|ribadavia" -8.143527486 42.28758161
1029 "ourense|rios" -7.282548267 41.97419795
1030 "ourense|verin" -7.437282661 41.93841117
1031 "ourense|xinzodelimia" -7.7246752 42.06362249
1032 "palencia|aguilardecampoo" -4.25993817 42.79264578
1033 "palencia|baltanas" -4.2461251 41.93933207
1034 "palencia|carriondeloscondes" -4.60446444 42.34072793
