"id" "Name" "Lon" "Lat"
147 "entrerios,ba" -38.084 -11.942
148 "esplanada,ba" -37.945 -11.796
149 "penedo,al" -36.586 -10.29
150 "igrejanova,al" -36.662 -10.125
151 "muribeca,se" -36.959 -10.427
152 "carmopolis,se" -36.989 -10.648
153 "maruim,se" -37.082 -10.738
154 "itaporangad'ajuda,se" -37.311 -10.998
155 "joaopessoa,pb" -34.863 -7.115
156 "alagoinhas,ba" -38.419 -12.136
157 "itapicuru,ba" -38.233 -11.317
158 "inhambupe,ba" -38.353 -11.784
159 "lagarto,se" -37.65 -10.917
160 "riachaododantas,se" -37.725 -11.069
161 "salgado,se" -37.475 -11.032
162 "jaramataia,al" -37.002 -9.659
163 "batalha,al" -37.125 -9.678
164 "delmirogouveia,al" -37.996 -9.386
165 "pauloafonso,ba" -38.222 -9.408
166 "olhod'aguadasflores,al" -37.294 -9.536
167 "feiradesantana,ba" -38.967 -12.267
168 "catu,ba" -38.379 -12.353
169 "saosebastiaodopasse,ba" -38.495 -12.513
170 "olindina,ba" -38.333 -11.367
171 "boquim,se" -37.621 -11.147
172 "pedrinhas,se" -37.674 -11.192
173 "araua,se" -37.62 -11.262
174 "cruzdasalmas,ba" -39.102 -12.67
175 "gandu,ba" -39.487 -13.744
176 "itabuna,ba" -39.28 -14.786
177 "santoantoniodejesus,ba" -39.261 -12.969
178 "nossasenhoradasdores,se" -37.193 -10.492
179 "nossasenhoradagloria,se" -37.42 -10.218
180 "montealegredesergipe,se" -37.562 -10.027
181 "tobiasbarreto,se" -37.998 -11.184
182 "freipaulo,se" -37.534 -10.549
183 "itabaiana,se" -37.425 -10.685
184 "jeremoabo,ba" -38.35 -10.067
185 "londrina,pr" -51.163 -23.31
186 "pontagrossa,pr" -50.162 -25.095
187 "caxiasdosul,rs" -51.179 -29.168
188 "apucarana,pr" -51.461 -23.551
189 "maringa,pr" -51.939 -23.425
190 "osorio,rs" -50.27 -29.887
191 "campomourao,pr" -52.383 -24.046
192 "peabiru,pr" -52.343 -23.913
193 "engenheirobeltrao,pr" -52.269 -23.797
194 "novaaurora,pr" -53.256 -24.529
195 "assischateaubriand,pr" -53.521 -24.42
196 "jesuitas,pr" -53.388 -24.385
197 "formosadooeste,pr" -53.313 -24.293
198 "goioere,pr" -53.028 -24.185
199 "janiopolis,pr" -52.782 -24.142
200 "juizdefora,mg" -43.35 -21.764
201 "matiasbarbosa,mg" -43.319 -21.869
202 "barbacena,mg" -43.774 -21.226
203 "mardeespanha,mg" -43.01 -21.867
204 "bicas,mg" -43.059 -21.725
205 "petropolis,rj" -43.179 -22.505
206 "barreiras,ba" -44.99 -12.153
207 "cruzalta,rs" -53.606 -28.639
208 "cianorte,pr" -52.605 -23.663
209 "cristalina,go" -47.614 -16.769
210 "panambi,rs" -53.502 -28.293
211 "formosa,go" -47.334 -15.537
212 "luiseduardomagalhaes,ba" -45.805 -12.092
213 "palmeiradasmissoes,rs" -53.314 -27.899
214 "fredericowestphalen,rs" -53.394 -27.359
215 "irai,rs" -53.251 -27.194
216 "palmitos,sc" -53.161 -27.068
217 "chapeco,sc" -52.618 -27.096
218 "presidenteprudente,sp" -51.389 -22.126
219 "saojosedoriopreto,sp" -49.379 -20.82
220 "uberlandia,mg" -48.277 -18.919
221 "posse,go" -46.369 -14.093
222 "patobranco,pr" -52.671 -26.229
223 "franciscobeltrao,pr" -53.055 -26.081
224 "realeza,pr" -53.527 -25.767
225 "toledo,pr" -53.743 -24.714
226 "parnaiba,pi" -41.777 -2.905
227 "imperatriz,ma" -47.476 -5.526
228 "santaines,ma" -45.38 -3.667
229 "bacabal,ma" -44.78 -4.225
230 "peritoro,ma" -44.333 -4.383
231 "timon,ma" -42.837 -5.094
232 "teresina,pi" -42.802 -5.089
233 "goianesiadopara,pa" -49.097 -3.843
234 "maraba,pa" -49.118 -5.369
235 "altos,pi" -42.461 -5.039
236 "campomaior,pi" -42.169 -4.828
237 "capitaodecampos,pi" -41.944 -4.457
238 "buritidoslopes,pi" -41.867 -3.175
239 "caxias,ma" -43.356 -4.859
240 "garanhuns,pe" -36.493 -8.89
241 "messias,al" -35.842 -9.383
242 "saomigueldoscampos,al" -36.094 -9.781
243 "santoestevao,ba" -39.251 -12.43
244 "jequie,ba" -40.084 -13.858
245 "recife,pe" -34.881 -8.054
