"id" "Name" "Lon" "Lat"
639 "padreparaiso,mg" -41.524 -17.072
640 "jacinto,mg" -40.293 -16.144
641 "conceicaodabarra,es" -39.732 -18.593
642 "arcos,mg" -45.539 -20.282
643 "bambui,mg" -45.977 -20.006
644 "aracuai,mg" -42.07 -16.85
645 "berilo,mg" -42.466 -16.952
646 "chapadadonorte,mg" -42.535 -17.087
647 "minasnovas,mg" -42.59 -17.219
648 "coutodemagalhaesdeminas,mg" -43.471 -18.071
649 "gouveia,mg" -43.741 -18.454
650 "pompeu,mg" -44.935 -19.224
651 "martinhocampos,mg" -45.237 -19.332
652 "moema,mg" -45.411 -19.843
653 "lagoadaprata,mg" -45.544 -20.023
654 "mantena,mg" -40.98 -18.782
655 "itaguara,mg" -44.488 -20.392
656 "santaquiteria,ce" -40.157 -4.332
657 "madalena,ce" -39.577 -4.857
658 "sobral,ce" -40.239 -3.674
659 "quixada,ce" -39.015 -4.971
660 "mombaca,ce" -39.628 -5.743
661 "acopiara,ce" -39.453 -6.095
662 "euclidesdacunha,ba" -39.014 -10.508
663 "araci,ba" -38.967 -11.333
664 "itabira,mg" -43.227 -19.619
665 "santamariadeitabira,mg" -43.113 -19.449
666 "guanhaes,mg" -42.933 -18.775
667 "saojoaoevangelista,mg" -42.763 -18.548
668 "santamariadosuacui,mg" -42.414 -18.19
669 "aguaboa,mg" -42.389 -17.996
670 "malacacheta,mg" -42.077 -17.842
671 "pote,mg" -41.786 -17.807
672 "miguelcalmon,ba" -40.595 -11.429
673 "jacobina,ba" -40.518 -11.181
674 "bomjesusdalapa,ba" -43.418 -13.255
675 "guanambi,ba" -42.781 -14.223
676 "riachodesantana,ba" -42.939 -13.609
677 "montesanto,ba" -39.333 -10.438
678 "cansancao,ba" -39.498 -10.671
679 "queimadas,ba" -39.624 -10.978
680 "conceicaodocoite,ba" -39.283 -11.564
681 "franciscosa,mg" -43.488 -16.476
682 "salinas,mg" -42.29 -16.17
683 "setelagoas,mg" -44.247 -19.466
684 "milagres,ba" -39.859 -12.87
685 "santoantoniodomonte,mg" -45.294 -20.087
686 "apora,ba" -38.081 -11.66
687 "acucena,mg" -42.546 -19.073
688 "capelinha,mg" -42.516 -17.691
689 "virginopolis,mg" -42.704 -18.823
690 "virgemdalapa,mg" -42.343 -16.804
691 "saojoaodoparaiso,mg" -42.014 -15.314
692 "cordeiros,ba" -41.935 -15.039
693 "jacaraci,ba" -42.433 -14.85
694 "condeuba,ba" -41.969 -14.895
695 "pindai,ba" -42.687 -14.493
696 "limeira,sp" -47.402 -22.565
697 "franca,sp" -47.401 -20.539
698 "frutal,mg" -48.941 -20.025
699 "olimpia,sp" -48.915 -20.737
700 "alvorada,to" -49.125 -12.48
701 "jaragua,go" -49.334 -15.757
702 "gurupi,to" -49.069 -11.729
703 "porangatu,go" -49.149 -13.441
704 "rioclaro,sp" -47.561 -22.411
705 "planura,mg" -48.702 -20.138
706 "prata,mg" -48.924 -19.307
707 "itumbiara,go" -49.218 -18.42
708 "caetite,ba" -42.475 -14.069
709 "brumado,ba" -41.665 -14.204
710 "anage,ba" -41.136 -14.612
711 "abadiania,go" -48.707 -16.204
712 "correntina,ba" -44.637 -13.343
713 "itarantim,ba" -40.066 -15.66
714 "caraubas,rn" -37.557 -5.793
715 "olho-d'aguadoborges,rn" -37.706 -5.956
716 "patu,rn" -37.637 -6.11
717 "josedapenha,rn" -38.281 -6.317
718 "itau,rn" -37.993 -5.84
719 "apodi,rn" -37.799 -5.664
720 "luisgomes,rn" -38.389 -6.414
721 "sousa,pb" -38.231 -6.761
722 "lagodapedra,ma" -45.132 -4.57
723 "igarapegrande,ma" -44.853 -4.585
724 "monsenhorgil,pi" -42.608 -5.564
725 "barroduro,pi" -42.513 -5.818
726 "elesbaoveloso,pi" -42.14 -6.202
727 "inhuma,pi" -41.708 -6.668
728 "ibotirama,ba" -43.221 -12.185
729 "itaberaba,ba" -40.307 -12.528
730 "jussara,go" -50.868 -15.865
731 "cocalinho,mt" -50.996 -14.397
732 "anicuns,go" -49.962 -16.461
733 "britania,go" -51.161 -15.241
734 "aguaboa,mt" -52.159 -14.05
735 "araguapaz,go" -50.632 -15.091
736 "arapongas,pr" -51.424 -23.419
737 "rolandia,pr" -51.369 -23.31
738 "cambe,pr" -51.278 -23.276
739 "jandaiadosul,pr" -51.643 -23.603
740 "mambore,pr" -52.53 -24.319
741 "lutecia,sp" -50.392 -22.34
742 "oscarbressane,sp" -50.281 -22.318
743 "nantes,sp" -51.237 -22.621
744 "paraguacupaulista,sp" -50.576 -22.413
745 "lins,sp" -49.743 -21.679
746 "castro,pr" -50.012 -24.791
747 "arapoti,pr" -49.827 -24.158
748 "piraidosul,pr" -49.949 -24.526
749 "jaguariaiva,pr" -49.706 -24.251
750 "joaquimtavora,pr" -49.905 -23.499
751 "jacarezinho,pr" -49.969 -23.161
752 "siqueiracampos,pr" -49.834 -23.689
753 "santoantoniodaplatina,pr" -50.077 -23.295
754 "quatigua,pr" -49.914 -23.567
755 "ibaiti,pr" -50.188 -23.849
756 "avare,sp" -48.926 -23.099
757 "guapirama,pr" -50.04 -23.516
758 "itai,sp" -49.091 -23.418
759 "santanadoitarare,pr" -49.629 -23.755
760 "itaporanga,sp" -49.49 -23.708
761 "coronelmacedo,sp" -49.314 -23.631
762 "taquarituba,sp" -49.244 -23.533
763 "itapetininga,sp" -48.053 -23.592
764 "sorocaba,sp" -47.458 -23.502
765 "japira,pr" -50.139 -23.813
766 "jaboti,pr" -50.076 -23.743
767 "pinhalao,pr" -50.056 -23.793
768 "chavantes,sp" -49.709 -23.039
769 "canitar,sp" -49.783 -23.006
770 "araguari,mg" -48.187 -18.649
771 "pirassununga,sp" -47.426 -21.996
772 "ararangua,sc" -49.486 -28.935
773 "sombrio,sc" -49.629 -29.104
774 "torres,rs" -49.727 -29.335
775 "trescachoeiras,rs" -49.924 -29.456
776 "terradeareia,rs" -50.071 -29.585
777 "bomsucesso,mg" -44.758 -21.033
778 "cabeceiras,go" -46.927 -15.801
779 "buritis,mg" -46.423 -15.618
780 "aguaslindasdegoias,go" -48.282 -15.762
781 "cocalzinhodegoias,go" -48.776 -15.794
782 "rianapolis,go" -49.51 -15.447
783 "arinos,mg" -46.106 -15.917
784 "alvoradadonorte,go" -46.492 -14.481
785 "cocos,ba" -44.534 -14.184
786 "aguafriadegoias,go" -47.784 -14.986
787 "barroalto,go" -48.916 -14.971
788 "padrebernardo,go" -48.284 -15.16
789 "damianopolis,go" -46.177 -14.564
790 "formoso,mg" -46.232 -14.947
791 "luziania,go" -47.95 -16.253
792 "ermo,sc" -49.644 -28.983
793 "bomjesus,rs" -50.417 -28.668
794 "timbedosul,sc" -49.847 -28.83
795 "saojosedosausentes,rs" -50.066 -28.748
796 "pirauba,mg" -43.026 -21.276
797 "guarani,mg" -43.047 -21.352
798 "raulsoares,mg" -42.453 -20.102
799 "ilhasolteira,sp" -51.343 -20.433
800 "andradina,sp" -51.379 -20.896
801 "angradosreis,rj" -44.318 -23.007
802 "castilho,sp" -51.488 -20.872
803 "itaguai,rj" -43.775 -22.852
804 "aguaclara,ms" -52.878 -20.448
805 "paranaiba,ms" -51.191 -19.677
806 "cacu,go" -51.131 -18.557
807 "irece,ba" -41.856 -11.304
808 "iraquara,ba" -41.619 -12.249
809 "santamariadavitoria,ba" -44.198 -13.398
810 "morrodochapeu,ba" -41.156 -11.55
811 "rioquente,go" -48.773 -17.774
812 "piracanjuba,go" -49.018 -17.303
813 "central,ba" -42.113 -11.136
814 "morpara,ba" -43.281 -11.559
815 "piritiba,ba" -40.555 -11.73
816 "ipira,ba" -39.737 -12.158
817 "ipecaeta,ba" -39.308 -12.3
818 "ruybarbosa,ba" -40.494 -12.284
819 "medina,mg" -41.477 -16.223
820 "iacu,ba" -40.212 -12.767
821 "palmeiras,ba" -41.559 -12.529
822 "ipupiara,ba" -42.614 -11.82
823 "pintadas,ba" -39.909 -11.813
824 "palotina,pr" -53.84 -24.284
825 "terraroxa,pr" -54.097 -24.157
826 "mundonovo,ms" -54.271 -23.938
827 "riobranco,ac" -67.81 -9.975
828 "pontapora,ms" -55.726 -22.536
829 "seara,sc" -52.311 -27.149
830 "ubirata,pr" -52.988 -24.545
831 "aripuana,mt" -59.459 -10.167
832 "capanema,pr" -53.809 -25.672
833 "tubarao,sc" -49.007 -28.467
834 "joacaba,sc" -51.505 -27.178
835 "rioverde,go" -50.928 -17.798
836 "humaita,am" -63.021 -7.506
837 "iacri,sp" -50.689 -21.858
838 "bastos,sp" -50.734 -21.922
839 "rancharia,sp" -50.893 -22.229
840 "cumari,go" -48.151 -18.263
841 "corumbaiba,go" -48.562 -18.142
842 "goiandira,go" -48.085 -18.133
843 "anhanguera,go" -48.219 -18.337
844 "caldasnovas,go" -48.626 -17.744
845 "itabela,ba" -39.553 -16.575
846 "camacan,ba" -39.496 -15.419
847 "lajedao,ba" -40.345 -17.614
848 "jordania,mg" -40.178 -15.9
849 "maiquinique,ba" -40.266 -15.621
850 "itambe,ba" -40.624 -15.245
851 "santoantoniodojacinto,mg" -40.176 -16.534
852 "guaratinga,ba" -39.783 -16.584
853 "itapebi,ba" -39.534 -15.951
854 "potiragua,ba" -39.877 -15.595
855 "canavieiras,ba" -38.947 -15.675
856 "nepomuceno,mg" -45.236 -21.236
857 "carmodacachoeira,mg" -45.224 -21.461
858 "cassia,mg" -46.922 -20.583
859 "capetinga,mg" -47.054 -20.616
860 "itirapua,sp" -47.219 -20.641
861 "itaudeminas,mg" -46.752 -20.739
862 "ibiraci,mg" -47.122 -20.462
863 "patrociniopaulista,sp" -47.282 -20.639
864 "jacutinga,mg" -46.612 -22.286
865 "itapira,sp" -46.822 -22.436
866 "bordadamata,mg" -46.165 -22.274
867 "delfimmoreira,mg" -45.28 -22.509
868 "saobentodosapucai,sp" -45.731 -22.689
869 "pindamonhangaba,sp" -45.462 -22.924
870 "santoantoniodopinhal,sp" -45.663 -22.827
871 "carmopolisdeminas,mg" -44.635 -20.541
872 "saojoaodelrei,mg" -44.262 -21.136
873 "nazareno,mg" -44.611 -21.216
874 "itutinga,mg" -44.658 -21.298
875 "itumirim,mg" -44.871 -21.317
876 "barroso,mg" -43.976 -21.187
877 "jundiai,sp" -46.884 -23.186
878 "batatais,sp" -47.585 -20.891
879 "bezerros,pe" -35.797 -8.233
880 "demervallobao,pi" -42.676 -5.358
881 "marcolandia,pi" -40.661 -7.443
882 "aracati,ce" -37.77 -4.562
883 "acu,rn" -36.909 -5.577
884 "croata,ce" -40.911 -4.4
885 "tiangua,ce" -40.992 -3.732
886 "coreau,ce" -40.657 -3.533
887 "granja,ce" -40.826 -3.12
888 "camocim,ce" -40.841 -2.902
889 "chaval,ce" -41.244 -3.034
890 "anapurus,ma" -43.116 -3.672
891 "santaquiteriadomaranhao,ma" -42.547 -3.516
892 "itapecurumirim,ma" -44.359 -3.393
893 "russas,ce" -37.976 -4.94
894 "jucas,ce" -39.528 -6.525
895 "corrente,pi" -45.162 -10.443
896 "buriticupu,ma" -46.401 -4.346
897 "santaluzia,ma" -45.69 -4.069
898 "angicos,rn" -36.601 -5.666
899 "lajes,rn" -36.245 -5.7
900 "portofranco,ma" -47.399 -6.338
901 "grajau,ma" -46.139 -5.819
902 "barradocorda,ma" -45.243 -5.506
903 "pedreiras,ma" -44.597 -4.574
904 "limacampos,ma" -44.467 -4.52
905 "santarita,ma" -44.326 -3.144
906 "codo,ma" -43.886 -4.455
907 "uniao,pi" -42.864 -4.586
908 "saodomingosdomaranhao,ma" -44.385 -5.576
909 "capinzaldonorte,ma" -44.327 -4.728
910 "santoantoniodoslopes,ma" -44.36 -4.869
911 "altolonga,pi" -42.21 -5.251
912 "mirassol,sp" -49.521 -20.819
913 "jales,sp" -50.546 -20.269
914 "santafedosul,sp" -50.926 -20.211
915 "aparecidadotaboado,ms" -51.094 -20.087
916 "itaja,go" -51.544 -19.067
917 "itaruma,go" -51.348 -18.769
918 "araputanga,mt" -58.353 -15.471
919 "mirassold'oeste,mt" -58.096 -15.675
920 "saojosedosquatromarcos,mt" -58.176 -15.621
921 "medianeira,pr" -54.094 -25.295
922 "taubate,sp" -45.555 -23.026
923 "capaobonito,sp" -48.349 -24.006
924 "itarare,sp" -49.341 -24.115
925 "itapeva,sp" -48.876 -23.982
926 "guarapuava,pr" -51.458 -25.395
927 "barradopirai,rj" -43.826 -22.47
928 "tresrios,rj" -43.209 -22.117
929 "amapora,pr" -52.788 -23.096
930 "planaltinadoparana,pr" -52.914 -23.007
931 "querenciadonorte,pr" -53.484 -23.084
932 "caarapo,ms" -54.822 -22.634
933 "novaandradina,ms" -53.343 -22.233
934 "rosana,sp" -53.059 -22.58
935 "itaquirai,ms" -54.185 -23.474
936 "cruzeirodooeste,pr" -53.073 -23.785
937 "amparo,sp" -46.764 -22.701
938 "jaguariuna,sp" -46.986 -22.706
939 "pedreira,sp" -46.901 -22.742
940 "cajati,sp" -48.123 -24.736
941 "quatrobarras,pr" -49.077 -25.366
942 "jacupiranga,sp" -48.002 -24.693
943 "coronelvivida,pr" -52.568 -25.98
944 "prudentopolis,pr" -50.978 -25.213
945 "saojosedocedro,sc" -53.494 -26.455
946 "domeliseu,pa" -47.505 -4.285
947 "abelfigueiredo,pa" -48.393 -4.954
948 "bomjesusdotocantins,pa" -48.609 -5.051
949 "agudosdosul,pr" -49.335 -25.993
950 "corupa,sc" -49.243 -26.425
951 "combinado,to" -46.539 -12.792
952 "auroradotocantins,to" -46.408 -12.713
953 "montealegredegoias,go" -46.901 -13.256
954 "novoalegre,to" -46.574 -12.931
955 "cachoeirinha,rs" -51.094 -29.951
956 "gravatai,rs" -50.992 -29.944
957 "maracaja,sc" -49.453 -28.847
958 "santoantoniodapatrulha,rs" -50.52 -29.818
959 "tramandai,rs" -50.134 -29.985
960 "capaodacanoa,rs" -50.03 -29.761
961 "santamaria,rs" -53.807 -29.684
962 "cacequi,rs" -54.825 -29.884
963 "penha,sc" -48.646 -26.769
964 "saosebastiaodoparaiso,mg" -46.991 -20.917
965 "igarapava,sp" -47.747 -20.038
966 "buritizal,sp" -47.708 -20.191
967 "pedregulho,sp" -47.477 -20.257
968 "cristaispaulista,sp" -47.42 -20.397
969 "piumhi,mg" -45.958 -20.465
970 "capitolio,mg" -46.05 -20.615
971 "altinopolis,sp" -47.374 -21.026
972 "estreladosul,mg" -47.693 -18.746
973 "mococa,sp" -47.005 -21.468
974 "casabranca,sp" -47.086 -21.774
975 "altosanto,ce" -38.272 -5.521
976 "iracema,ce" -38.306 -5.812
977 "erere,ce" -38.349 -6.032
978 "paodeacucar,al" -37.437 -9.748
979 "cacimbinhas,al" -36.99 -9.4
980 "cachoeirinha,pe" -36.233 -8.486
981 "cornelioprocopio,pr" -50.647 -23.181
982 "leopolis,pr" -50.751 -23.08
983 "sertaneja,pr" -50.838 -23.037
984 "florinia,sp" -50.738 -22.903
985 "pedrinhaspaulista,sp" -50.794 -22.815
986 "ampere,pr" -53.473 -25.915
987 "dionisiocerqueira,sc" -53.64 -26.255
988 "guarujadosul,sc" -53.528 -26.385
989 "guaraciaba,sc" -53.518 -26.599
990 "sarandi,rs" -52.923 -27.944
991 "lagoavermelha,rs" -51.526 -28.209
992 "coronelfreitas,sc" -52.703 -26.909
993 "quilombo,sc" -52.721 -26.726
994 "saolourencodooeste,sc" -52.851 -26.359
995 "venancioaires,rs" -52.192 -29.606
996 "santaizabeldooeste,pr" -53.484 -25.821
997 "soledade,rs" -52.51 -28.818
998 "rondinha,rs" -52.91 -27.828
999 "rondaalta,rs" -52.802 -27.767
1000 "caibi,sc" -53.248 -27.072
1001 "chapada,rs" -53.068 -28.055
1002 "mondai,sc" -53.402 -27.103
1003 "iporadooeste,sc" -53.535 -26.988
1004 "descanso,sc" -53.502 -26.826
1005 "boavistadasmissoes,rs" -53.314 -27.663
1006 "renascenca,pr" -52.969 -26.158
1007 "marmeleiro,pr" -53.026 -26.149
1008 "trindadedosul,rs" -52.894 -27.522
1009 "nonoai,rs" -52.771 -27.362
1010 "casca,rs" -51.978 -28.561
1011 "pranchita,pr" -53.74 -26.02
1012 "guarai,to" -48.51 -8.834
1013 "tucuma,pa" -51.161 -6.748
1014 "colmeia,to" -48.765 -8.729
1015 "saofelixdoxingu,pa" -51.995 -6.645
1016 "juruena,mt" -58.359 -10.318
1017 "guajeru,ba" -41.94 -14.547
1018 "belocampo,ba" -41.26 -15.038
1019 "saocaetanodosul,sp" -46.551 -23.623
1020 "piripa,ba" -41.72 -14.94
1021 "altotaquari,mt" -53.282 -17.826
1022 "novaxavantina,mt" -52.353 -14.673
1023 "concordia,sc" -52.028 -27.234
1024 "ribeiraocascalheira,mt" -51.824 -12.942
1025 "querencia,mt" -52.378 -12.476
1026 "abelardoluz,sc" -52.328 -26.565
1027 "montividiu,go" -51.175 -17.444
1028 "ijui,rs" -53.915 -28.388
1029 "santoangelo,rs" -54.263 -28.299
1030 "santarosa,rs" -54.481 -27.871
1031 "tuparendi,rs" -54.482 -27.756
1032 "horizontina,rs" -54.308 -27.626
1033 "tresdemaio,rs" -54.24 -27.773
1034 "boavistadoburica,rs" -54.11 -27.669
1035 "saomartinho,rs" -53.969 -27.707
1036 "santoaugusto,rs" -53.777 -27.851
1037 "seberi,rs" -53.403 -27.478
1038 "canarana,mt" -52.166 -13.55
1039 "juliodecastilhos,rs" -53.682 -29.227
1040 "ibiruba,rs" -53.09 -28.628
1041 "getuliovargas,rs" -52.228 -27.89
1042 "faxinaldosguedes,sc" -52.26 -26.853
1043 "espumoso,rs" -52.85 -28.725
1044 "jati,ce" -39.016 -7.686
1045 "parnamirim,pe" -39.578 -8.091
1046 "ipirangadopiaui,pi" -41.741 -6.828
1047 "cabeceiragrande,mg" -47.091 -16.03
1048 "santoantoniodelisboa,pi" -41.234 -6.981
1049 "iuna,es" -41.536 -20.346
1050 "andira,pr" -50.229 -23.051
1051 "aparecidadegoiania,go" -49.245 -16.822
1052 "orlandia,sp" -47.887 -20.72
1053 "saoluisdemontesbelos,go" -50.372 -16.525
1054 "centralina,mg" -49.199 -18.584
1055 "fronteira,mg" -49.199 -20.268
1056 "goiatuba,go" -49.357 -18.013
1057 "buritialegre,go" -49.044 -18.144
1058 "montealegredeminas,mg" -48.881 -18.871
1059 "morrinhos,go" -49.101 -17.732
1060 "marzagao,go" -48.641 -17.981
1061 "senges,pr" -49.464 -24.113
1062 "carambei,pr" -50.097 -24.918
1063 "cataguases,mg" -42.697 -21.389
1064 "laranjal,mg" -42.477 -21.374
1065 "palma,mg" -42.314 -21.375
1066 "oliveira,mg" -44.827 -20.696
1067 "carmodamata,mg" -44.871 -20.558
1068 "ritapolis,mg" -44.318 -21.022
1069 "saotiago,mg" -44.509 -20.913
1070 "saocarlos,sc" -53.004 -27.078
1071 "uruacu,go" -49.141 -14.525
1072 "umuarama,pr" -53.325 -23.766
1073 "guaraniacu,pr" -52.878 -25.101
1074 "laranjeirasdosul,pr" -52.416 -25.408
1075 "corbelia,pr" -53.307 -24.799
1076 "irati,pr" -50.651 -25.467
1077 "arroiodosratos,rs" -51.729 -30.077
1078 "saogabriel,rs" -54.32 -30.336
1079 "rosariodosul,rs" -54.914 -30.258
1080 "alegrete,rs" -55.792 -29.783
1081 "itaqui,rs" -56.553 -29.125
1082 "saoborja,rs" -56.004 -28.661
1083 "barracao,rs" -51.461 -27.672
1084 "caciquedoble,rs" -51.66 -27.77
1085 "camposnovos,sc" -51.225 -27.402
1086 "registro,sp" -47.844 -24.488
1087 "orleans,sc" -49.291 -28.359
1088 "pocosdecaldas,mg" -46.561 -21.788
1089 "portoferreira,sp" -47.479 -21.854
1090 "aguasdaprata,sp" -46.717 -21.937
1091 "santacruzdaspalmeiras,sp" -47.249 -21.827
1092 "saojoaodaboavista,sp" -46.798 -21.969
1093 "peixe,to" -48.539 -12.025
1094 "andradas,mg" -46.569 -22.068
1095 "santoantoniodojardim,sp" -46.68 -22.116
1096 "estreito,ma" -47.451 -6.561
1097 "joaquimgomes,al" -35.748 -9.133
1098 "gameleira,pe" -35.387 -8.584
1099 "escada,pe" -35.224 -8.359
1100 "palmares,pe" -35.592 -8.683
1101 "ribeirao,pe" -35.378 -8.514
1102 "barradesantoantonio,al" -35.507 -9.405
1103 "barreiros,pe" -35.186 -8.818
1104 "ipojuca,pe" -35.064 -8.399
1105 "matrizdecamaragibe,al" -35.533 -9.152
1106 "portocalvo,al" -35.398 -9.045
1107 "maragogi,al" -35.222 -9.012
1108 "saojosedacoroagrande,pe" -35.148 -8.898
1109 "rioformoso,pe" -35.159 -8.664
1110 "saoluisdoquitunde,al" -35.561 -9.318
1111 "araras,sp" -47.384 -22.357
1112 "dianopolis,to" -46.821 -11.628
1113 "pontealtadobomjesus,to" -46.479 -12.091
1114 "iaciara,go" -46.632 -14.096
1115 "divinopolisdegoias,go" -46.393 -13.295
1116 "formosadoriopreto,ba" -45.193 -11.048
1117 "riachaodasneves,ba" -44.91 -11.746
1118 "lavandeira,to" -46.506 -12.789
1119 "novojardim,to" -46.628 -11.824
1120 "lapa,pr" -49.716 -25.77
1121 "araucaria,pr" -49.41 -25.593
1122 "portouniao,sc" -51.078 -26.238
1123 "saomateusdosul,pr" -50.383 -25.874
1124 "figueiropolis,to" -49.174 -12.131
1125 "fatima,to" -48.907 -10.761
1126 "nobres,mt" -56.328 -14.72
1127 "novamutum,mt" -56.084 -13.838
1128 "lucasdorioverde,mt" -55.911 -13.05
1129 "novoprogresso,pa" -55.382 -7.147
1130 "sorriso,mt" -55.711 -12.545
1131 "ruropolis,pa" -54.91 -4.096
1132 "santarem,pa" -54.708 -2.443
1133 "sinop,mt" -55.504 -11.864
1134 "itauba,mt" -55.276 -11.062
1135 "terranovadonorte,mt" -55.231 -10.517
1136 "matupa,mt" -54.933 -10.057
1137 "guarantadonorte,mt" -54.91 -9.788
1138 "uniaodavitoria,pr" -51.086 -26.23
1139 "palmas,pr" -51.991 -26.484
1140 "jabora,sc" -51.734 -27.176
1141 "rionegro,pr" -49.798 -26.106
1142 "rionegrinho,sc" -49.518 -26.254
1143 "campoere,sc" -53.078 -26.394
1144 "modelo,sc" -53.055 -26.778
1145 "saltinho,sc" -53.056 -26.609
1146 "pinhalzinho,sc" -52.992 -26.848
1147 "ponteserrada,sc" -52.016 -26.872
1148 "canoinhas,sc" -50.39 -26.177
1149 "itaiopolis,sc" -49.906 -26.336
1150 "beneditonovo,sc" -49.364 -26.783
1151 "gaspar,sc" -48.959 -26.931
1152 "bomretiro,sc" -49.489 -27.797
1153 "alfredowagner,sc" -49.334 -27.7
1154 "ranchoqueimado,sc" -49.022 -27.673
1155 "santabarbarad'oeste,sp" -47.414 -22.754
1156 "generalcarneiro,pr" -51.316 -26.428
1157 "clevelandia,pr" -52.471 -26.396
1158 "bomjesus,sc" -52.394 -26.734
1159 "catanduvas,sc" -51.662 -27.071
1160 "vargembonita,sc" -51.74 -27.007
1161 "mariopolis,pr" -52.559 -26.355
1162 "vitorino,pr" -52.784 -26.277
1163 "riodasantas,sc" -51.074 -26.899
1164 "flordaserradosul,pr" -53.307 -26.257
1165 "palmasola,sc" -53.278 -26.348
1166 "novohorizonte,sc" -52.834 -26.444
1167 "videira,sc" -51.152 -27.008
1168 "campoalegre,sc" -49.266 -26.193
1169 "lebonregis,sc" -50.695 -26.929
1170 "fraiburgo,sc" -50.921 -27.026
1171 "montecarlo,sc" -50.98 -27.223
1172 "aguadoce,sc" -51.556 -26.998
1173 "luzerna,sc" -51.467 -27.133
1174 "xanxere,sc" -52.404 -26.877
1175 "barrabonita,sc" -53.44 -26.654
1176 "anchieta,sc" -53.331 -26.534
1177 "juquia,sp" -47.635 -24.321
1178 "novaerechim,sc" -52.906 -26.903
1179 "ervalvelho,sc" -51.442 -27.276
1180 "carpina,pe" -35.255 -7.851
1181 "nazaredamata,pe" -35.228 -7.742
1182 "alianca,pe" -35.231 -7.603
1183 "saobenedito,ce" -40.865 -4.049
1184 "ibiapina,ce" -40.889 -3.923
1185 "jaboticabal,sp" -48.322 -21.255
1186 "sertanopolis,pr" -51.036 -23.059
1187 "itapolis,sp" -48.813 -21.596
1188 "itapiranga,sc" -53.712 -27.169
1189 "coronelbicaco,rs" -53.701 -27.716
1190 "aimores,mg" -41.064 -19.496
1191 "paragominas,pa" -47.353 -2.995
1192 "araguatins,to" -48.124 -5.651
1193 "rondondopara,pa" -48.067 -4.776
1194 "saoluisdocuru,ce" -39.243 -3.67
1195 "itapage,ce" -39.586 -3.687
1196 "miranorte,to" -48.59 -9.529
1197 "tocantinia,to" -48.377 -9.564
1198 "miracemadotocantins,to" -48.392 -9.567
1199 "eldoradodoscarajas,pa" -49.355 -6.104
1200 "estreladonorte,go" -49.073 -13.868
1201 "santaterezadegoias,go" -49.015 -13.714
1202 "campinorte,go" -49.152 -14.314
1203 "barrolandia,to" -48.725 -9.836
1204 "saopatricio,go" -49.818 -15.35
1205 "presidentekennedy,to" -48.506 -8.539
1206 "talisma,to" -49.093 -12.795
1207 "cristalandia,to" -49.193 -10.6
1208 "novarosalandia,to" -48.914 -10.567
1209 "almas,to" -47.17 -11.574
1210 "natividade,to" -47.723 -11.71
1211 "petrolinadegoias,go" -49.338 -16.095
1212 "saofranciscodegoias,go" -49.261 -15.931
1213 "saoluizdonorte,go" -49.329 -14.863
1214 "saovaleriodanatividade,to" -48.234 -11.975
1215 "filadelfia,to" -47.49 -7.336
1216 "mararosa,go" -49.178 -14.017
1217 "cariridotocantins,to" -49.161 -11.891
1218 "pedroafonso,to" -48.175 -8.968
1219 "tupirama,to" -48.188 -8.973
1220 "formosodoaraguaia,to" -49.529 -11.797
1221 "tocantinopolis,to" -47.416 -6.329
1222 "aguabranca,pi" -42.638 -5.89
1223 "amarante,pi" -42.855 -6.241
1224 "cantodoburiti,pi" -42.944 -8.11
1225 "eliseumartins,pi" -43.664 -8.097
1226 "balsas,ma" -46.036 -7.533
1227 "saojoaodospatos,ma" -43.702 -6.495
1228 "pastosbons,ma" -44.077 -6.602
1229 "novaiorque,ma" -44.044 -6.734
1230 "saoraimundodasmangabeiras,ma" -45.481 -7.022
1231 "regeneracao,pi" -42.688 -6.238
1232 "paraibano,ma" -43.984 -6.433
1233 "carolina,ma" -47.469 -7.333
1234 "riachao,ma" -46.617 -7.362
1235 "curionopolis,pa" -49.541 -6.091
1236 "novaipixuna,pa" -49.077 -4.921
1237 "jacunda,pa" -49.116 -4.451
1238 "moju,pa" -48.769 -1.884
1239 "pequizeiro,to" -48.934 -8.595
1240 "coribe,ba" -44.454 -13.829
1241 "indaiatuba,sp" -47.218 -23.09
1242 "salto,sp" -47.287 -23.201
1243 "itu,sp" -47.299 -23.264
1244 "baraodeantonina,sp" -49.561 -23.627
1245 "riversul,sp" -49.429 -23.828
1246 "chui,rs" -53.457 -33.691
1247 "serrabranca,pb" -36.665 -7.483
1248 "saojoaodocariri,pb" -36.533 -7.391
1249 "boavista,pb" -36.24 -7.259
1250 "areal,rj" -43.106 -22.231
1251 "campinaverde,mg" -49.486 -19.536
1252 "cardoso,sp" -49.914 -20.082
1253 "riolandia,sp" -49.681 -19.99
1254 "itapagipe,mg" -49.381 -19.909
1255 "paulodefaria,sp" -49.383 -20.031
1256 "condor,rs" -53.487 -28.208
1257 "pontao,rs" -52.677 -28.059
1258 "ceuazul,pr" -53.849 -25.147
1259 "matelandia,pr" -53.996 -25.241
1260 "canoas,rs" -51.184 -29.918
1261 "esteio,rs" -51.179 -29.861
1262 "saomigueldoiguacu,pr" -54.238 -25.348
1263 "santaterezinhadeitaipu,pr" -54.401 -25.447
1264 "montenegro,rs" -51.461 -29.689
1265 "campobom,rs" -51.053 -29.679
1266 "baraodecotegipe,rs" -52.38 -27.621
